location;source;target;id;fuzzy;context;translator_comments;developer_comments
;%d tab(s) closed;s Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Tabs.DeleteAllUndo.Title;The label indicating that all the tabs were closed;
;Menu;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Toolbar.Menu.AccessibilityLabel;Accessibility label for the Menu button.;
;Close All Tabs;All Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Toolbar.Menu.CloseAllTabs;Accessibility label for the Close All Tabs menu button.;
;Your most visited sites will show up here.;up Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///TopSites.EmptyState.Description;Description label for the empty Top Sites state.;
;Welcome to Top Sites;Top Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///TopSites.EmptyState.Title;The title for the empty Top Sites state;
;Remove page ‚Äî %@;page Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///TopSites.RemovePage.Button;Button shown in editing mode to remove this site from the top sites panel.;
;just now;gerade eben;;True;Shared/Supporting Files/en.lproj/Localizable.strings///just now;Relative time for a tab that was visited within the last few moments.;
;more than a month ago;vor mehr als einem Monat;;True;Shared/Supporting Files/en.lproj/Localizable.strings///more than a month ago;Relative date for dates older than a month and less than two months.;
;more than a week ago;vor mehr als einer Woche;;True;Shared/Supporting Files/en.lproj/Localizable.strings///more than a week ago;Description for a date more than a week ago, but less than a month ago.;
;this week;diese Woche;;True;Shared/Supporting Files/en.lproj/Localizable.strings///this week;Relative date for date in past week.;
;today at %@;heute um %@;;True;Shared/Supporting Files/en.lproj/Localizable.strings///today at %@;Relative date for date older than a minute.;
;yesterday;gestern;;True;Shared/Supporting Files/en.lproj/Localizable.strings///yesterday;Relative date for yesterday.;
;Bookmark This Page;Seite zu Favoriten hinzuf¸gen;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.AddBookmarkAction.Title;Label for the button, displayed in the menu, used to create a bookmark for the current website.;
;Add to Reading List;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.AddToReadingList.Title;Label for the button, displayed in the menu, used to add a page to the reading list.;
;Close All Tabs;Alle Tabs schlieﬂen;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.CloseAllTabsAction.Title;Label for the button, displayed in the menu, used to close all tabs currently open.;
;Copy Address;Link-Adresse kopieren;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.CopyAddress.Title;Label for the button, displayed in the menu, used to copy the page url to the clipboard.;
;Find in Page;Auf Seite suchen;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.FindInPageAction.Title;Label for the button, displayed in the menu, used to open the toolbar to search for text within the current page.;
;Open New Private Tab;Neuen Ghost Tab ˆffnen;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.NewPrivateTabAction.Title;Label for the button, displayed in the menu, used to open a new private tab.;
;Open New Tab;Neuen Tab ˆffnen;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.NewTabAction.Title;Label for the button, displayed in the menu, used to open a new tab;
;Bookmarks;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.OpenBookmarksAction.AccessibilityLabel;Accessibility label for the button, displayed in the menu, used to open the Bbookmarks home panel.;
;History;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.OpenHistoryAction.AccessibilityLabel;Accessibility label for the button, displayed in the menu, used to open the History home panel.;
;Open Homepage;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.OpenHomePageAction.Title;Label for the button, displayed in the menu, used to navigate to the home page.;
;Reading List;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.OpenReadingListAction.AccessibilityLabel;Accessibility label for the button, displayed in the menu, used to open the Reading list home panel.;
;Settings;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.OpenSettingsAction.Title;Label for the button, displayed in the menu, used to open the Settings menu.;
;Top Sites;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.OpenTopSitesAction.AccessibilityLabel;Accessibility label for the button, displayed in the menu, used to open the Top Sites home panel.;
;Remove Bookmark;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.RemoveBookmarkAction.Title;Label for the button, displayed in the menu, used to delete an existing bookmark for the current website.;
;Scan QR Code;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.ScanQRCodeAction.Title;Label for the button, displayed in the menu, used to open the QR code scanner.;
;Share Page With‚Ä¶;Seite teilen mitÖ;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.SharePageAction.Title;Label for the button, displayed in the menu, used to open the share dialog.;
;Show Tabs;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.ShowTabs.Title;Label for the button, displayed in the menu, used to open the tabs tray;
;Request Desktop Site;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.ViewDekstopSiteAction.Title;Label for the button, displayed in the menu, used to request the desktop version of the current website.;
;Request Mobile Site;;;False;Shared/Supporting Files/en.lproj/Menu.strings///Menu.ViewMobileSiteAction.Title;Label for the button, displayed in the menu, used to request the mobile version of the current website.;
;%1$@ on %2$@;;;False;Shared/Supporting Files/en.lproj/Shared.strings///%@ on %@;A brief descriptive name for this app on this device, used for Send Tab and Synced Tabs. The first argument is the app name. The second argument is the device name.;
;$(PRODUCT_NAME);;;False;SharedTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Desktop Bookmarks;;;False;Storage/en.lproj/BookmarkPanel.strings///Desktop Bookmarks;The folder name for the virtual folder that contains all desktop bookmarks.;
;$(PRODUCT_NAME);;;False;Storage/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Amazon;;;False;Storage/en.lproj/Localizable.strings///Amazon;Tile title for Amazon;
;Facebook;;;False;Storage/en.lproj/Localizable.strings///Facebook;Tile title for Facebook;
;Twitter;;;False;Storage/en.lproj/Localizable.strings///Twitter;Tile title for Twitter;
;Wikipedia;;;False;Storage/en.lproj/Localizable.strings///Wikipedia;Tile title for Wikipedia;
;YouTube;You Daten lˆschLocalizable;;False;Storage/en.lproj/Localizable.strings///YouTube;Tile title for YouTube;
;Bookmarks Menu;;;False;Storage/en.lproj/Storage.strings///Bookmarks Menu;The name of the folder that contains desktop bookmarks in the menu. This should match bookmarks.folder.menu.label on Android.;
;Bookmarks Toolbar;;;False;Storage/en.lproj/Storage.strings///Bookmarks Toolbar;The name of the folder that contains desktop bookmarks in the toolbar. This should match bookmarks.folder.toolbar.label on Android.;
;Mobile Bookmarks;;;False;Storage/en.lproj/Storage.strings///Mobile Bookmarks;The title of the folder that contains mobile bookmarks. This should match bookmarks.folder.mobile.label on Android.;
;Unsorted Bookmarks;;;False;Storage/en.lproj/Storage.strings///Unsorted Bookmarks;The name of the folder that contains unsorted desktop bookmarks. This should match bookmarks.folder.unfiled.label on Android.;
;Untitled;;;False;Storage/en.lproj/Storage.strings///Untitled;The default name for bookmark folders without titles. The default name for bookmark nodes without titles.;
;$(PRODUCT_NAME);;;False;StoragePerfTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;StorageTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Bookmarks Menu;;;False;StorageTests/en.lproj/Storage.strings///Bookmarks Menu;The name of the folder that contains desktop bookmarks in the menu. This should match bookmarks.folder.menu.label on Android.;
;Bookmarks Toolbar;;;False;StorageTests/en.lproj/Storage.strings///Bookmarks Toolbar;The name of the folder that contains desktop bookmarks in the toolbar. This should match bookmarks.folder.toolbar.label on Android.;
;Mobile Bookmarks;;;False;StorageTests/en.lproj/Storage.strings///Mobile Bookmarks;The title of the folder that contains mobile bookmarks. This should match bookmarks.folder.mobile.label on Android.;
;Unsorted Bookmarks;;;False;StorageTests/en.lproj/Storage.strings///Unsorted Bookmarks;The name of the folder that contains unsorted desktop bookmarks. This should match bookmarks.folder.unfiled.label on Android.;
;$(PRODUCT_NAME);;;False;Sync/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;SyncTelemetry/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;SyncTelemetryTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;SyncTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;UITests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;XCUITests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
